FIPS code;GeoName;State;2001 Real GDP (thousands of chained 2012 dollars) ;2002 Real GDP (thousands of chained 2012 dollars) ;2003 Real GDP (thousands of chained 2012 dollars) ;2004 Real GDP (thousands of chained 2012 dollars) ;2005 Real GDP (thousands of chained 2012 dollars) ;2006 Real GDP (thousands of chained 2012 dollars) ;2007 Real GDP (thousands of chained 2012 dollars) ;2008 Real GDP (thousands of chained 2012 dollars) ;2009 Real GDP (thousands of chained 2012 dollars) ;2010 Real GDP (thousands of chained 2012 dollars) ;2011 Real GDP (thousands of chained 2012 dollars) ;2012 Real GDP (thousands of chained 2012 dollars) ;2013 Real GDP (thousands of chained 2012 dollars) ;2014 Real GDP (thousands of chained 2012 dollars) ;2015 Real GDP (thousands of chained 2012 dollars) ;2016 Real GDP (thousands of chained 2012 dollars) ;2017 Real GDP (thousands of chained 2012 dollars) ;2018 Real GDP (thousands of chained 2012 dollars) ;2019 Real GDP (thousands of chained 2012 dollars) ;2020 Real GDP (thousands of chained 2012 dollars) ;2021 Real GDP (thousands of chained 2012 dollars) ;2001 Chain-type quantity indexes for real GDP ;2002 Chain-type quantity indexes for real GDP ;2003 Chain-type quantity indexes for real GDP ;2004 Chain-type quantity indexes for real GDP ;2005 Chain-type quantity indexes for real GDP ;2006 Chain-type quantity indexes for real GDP ;2007 Chain-type quantity indexes for real GDP ;2008 Chain-type quantity indexes for real GDP ;2009 Chain-type quantity indexes for real GDP ;2010 Chain-type quantity indexes for real GDP ;2011 Chain-type quantity indexes for real GDP ;2012 Chain-type quantity indexes for real GDP ;2013 Chain-type quantity indexes for real GDP ;2014 Chain-type quantity indexes for real GDP ;2015 Chain-type quantity indexes for real GDP ;2016 Chain-type quantity indexes for real GDP ;2017 Chain-type quantity indexes for real GDP ;2018 Chain-type quantity indexes for real GDP ;2019 Chain-type quantity indexes for real GDP ;2020 Chain-type quantity indexes for real GDP ;2021 Chain-type quantity indexes for real GDP ;2001 Chain-type quantity indexes for real GDP ;2002 Chain-type quantity indexes for real GDP ;2003 Chain-type quantity indexes for real GDP ;2004 Chain-type quantity indexes for real GDP ;2005 Chain-type quantity indexes for real GDP ;2006 Chain-type quantity indexes for real GDP ;2007 Chain-type quantity indexes for real GDP ;2008 Chain-type quantity indexes for real GDP ;2009 Chain-type quantity indexes for real GDP ;2010 Chain-type quantity indexes for real GDP ;2011 Chain-type quantity indexes for real GDP ;2012 Chain-type quantity indexes for real GDP ;2013 Chain-type quantity indexes for real GDP ;2014 Chain-type quantity indexes for real GDP ;2015 Chain-type quantity indexes for real GDP ;2016 Chain-type quantity indexes for real GDP ;2017 Chain-type quantity indexes for real GDP ;2018 Chain-type quantity indexes for real GDP ;2019 Chain-type quantity indexes for real GDP ;2020 Chain-type quantity indexes for real GDP ;2021 Chain-type quantity indexes for real GDP 
1033;Colbert County;Alabama;1920841.0;1948067.0;2112315.0;2241309.0;2311806.0;2327415.0;2304721.0;2319433.0;2062081.0;2284030.0;2398743.0;2387061.0;2643717.0;2551770.0;2473891.0;2365945.0;2263714.0;2355465.0;2348225.0;2340695.0;2444622.0;80.469;81.609;88.49;93.894;96.847;97.501;96.551;97.167;86.386;95.684;100.489;100.0;110.752;106.9;103.638;99.115;94.833;98.676;98.373;98.058;102.411;80.469;81.609;88.49;93.894;96.847;97.501;96.551;97.167;86.386;95.684;100.489;100.0;110.752;106.9;103.638;99.115;94.833;98.676;98.373;98.058;102.411
1035;Conecuh County;Alabama;299986.0;297052.0;299870.0;328075.0;383717.0;441942.0;458270.0;465687.0;459159.0;401995.0;448031.0;500247.0;535588.0;488957.0;526627.0;563738.0;535163.0;489553.0;470223.0;453603.0;457634.0;59.968;59.381;59.944;65.583;76.706;88.345;91.609;93.091;91.786;80.359;89.562;100.0;107.065;97.743;105.273;112.692;106.98;97.862;93.998;90.676;91.482;59.968;59.381;59.944;65.583;76.706;88.345;91.609;93.091;91.786;80.359;89.562;100.0;107.065;97.743;105.273;112.692;106.98;97.862;93.998;90.676;91.482
1037;Coosa County;Alabama;162956.0;162097.0;157498.0;166457.0;180892.0;192957.0;183518.0;166682.0;169437.0;167884.0;175712.0;164344.0;177802.0;163725.0;169464.0;177742.0;170246.0;178434.0;174970.0;172501.0;175564.0;99.156;98.633;95.835;101.286;110.069;117.411;111.667;101.423;103.099;102.154;106.918;100.0;108.189;99.623;103.115;108.152;103.591;108.573;106.466;104.963;106.827;99.156;98.633;95.835;101.286;110.069;117.411;111.667;101.423;103.099;102.154;106.918;100.0;108.189;99.623;103.115;108.152;103.591;108.573;106.466;104.963;106.827
1039;Covington County;Alabama;988519.0;1046748.0;994662.0;1088752.0;1079717.0;1079205.0;1063114.0;1045703.0;1038753.0;1100486.0;1048214.0;1104844.0;1146609.0;1137016.0;1129562.0;1126837.0;1161153.0;1164040.0;1100695.0;1091293.0;1151784.0;89.471;94.742;90.027;98.543;97.726;97.679;96.223;94.647;94.018;99.606;94.874;100.0;103.78;102.912;102.237;101.991;105.097;105.358;99.624;98.773;104.249;89.471;94.742;90.027;98.543;97.726;97.679;96.223;94.647;94.018;99.606;94.874;100.0;103.78;102.912;102.237;101.991;105.097;105.358;99.624;98.773;104.249
1041;Crenshaw County;Alabama;266412.0;256119.0;275591.0;306679.0;367877.0;381232.0;336776.0;337009.0;326911.0;377849.0;370809.0;413931.0;442476.0;411822.0;423489.0;390742.0;418609.0;446440.0;437554.0;369821.0;441247.0;64.362;61.875;66.579;74.089;88.874;92.1;81.36;81.417;78.977;91.283;89.582;100.0;106.896;99.491;102.309;94.398;101.13;107.854;105.707;89.344;106.599;64.362;61.875;66.579;74.089;88.874;92.1;81.36;81.417;78.977;91.283;89.582;100.0;106.896;99.491;102.309;94.398;101.13;107.854;105.707;89.344;106.599
1043;Cullman County;Alabama;2024681.0;2000973.0;2090695.0;2287461.0;2412173.0;2377411.0;2255071.0;2207657.0;2187006.0;2243668.0;2270412.0;2314988.0;2485582.0;2466060.0;2602055.0;2552660.0;2589832.0;2592454.0;2656667.0;2610437.0;2912833.0;87.46;86.436;90.311;98.811;104.198;102.696;97.412;95.364;94.472;96.919;98.074;100.0;107.369;106.526;112.4;110.267;111.872;111.986;114.759;112.762;125.825;87.46;86.436;90.311;98.811;104.198;102.696;97.412;95.364;94.472;96.919;98.074;100.0;107.369;106.526;112.4;110.267;111.872;111.986;114.759;112.762;125.825
1045;Dale County;Alabama;1974020.0;2032274.0;2094964.0;2247078.0;2497578.0;2600978.0;2621689.0;2727801.0;2785015.0;2913740.0;2811640.0;2767060.0;2793261.0;2627856.0;2668813.0;2603565.0;2597209.0;2537891.0;2561466.0;2464664.0;2632339.0;71.34;73.445;75.711;81.208;90.261;93.998;94.746;98.581;100.649;105.301;101.611;100.0;100.947;94.969;96.449;94.091;93.862;91.718;92.57;89.072;95.131;71.34;73.445;75.711;81.208;90.261;93.998;94.746;98.581;100.649;105.301;101.611;100.0;100.947;94.969;96.449;94.091;93.862;91.718;92.57;89.072;95.131
1047;Dallas County;Alabama;1263245.0;1220822.0;1207732.0;1290680.0;1355134.0;1381787.0;1313038.0;1243242.0;1201003.0;1187738.0;1193441.0;1213060.0;1216109.0;1197863.0;1083265.0;1108266.0;1118297.0;1122851.0;1112919.0;1098502.0;1061713.0;104.137;100.64;99.561;106.399;111.712;113.909;108.242;102.488;99.006;97.913;98.383;100.0;100.251;98.747;89.3;91.361;92.188;92.564;91.745;90.556;87.523;104.137;100.64;99.561;106.399;111.712;113.909;108.242;102.488;99.006;97.913;98.383;100.0;100.251;98.747;89.3;91.361;92.188;92.564;91.745;90.556;87.523
1049;DeKalb County;Alabama;1665761.0;1670217.0;1701610.0;1851815.0;1825508.0;1881909.0;1832587.0;1778914.0;1676105.0;1714656.0;1569220.0;1591167.0;1788775.0;1770694.0;1824325.0;1750675.0;1841784.0;1912735.0;1864771.0;1783136.0;1973395.0;104.688;104.968;106.941;116.381;114.728;118.272;115.172;111.799;105.338;107.761;98.621;100.0;112.419;111.283;114.653;110.025;115.751;120.21;117.195;112.065;124.022;104.688;104.968;106.941;116.381;114.728;118.272;115.172;111.799;105.338;107.761;98.621;100.0;112.419;111.283;114.653;110.025;115.751;120.21;117.195;112.065;124.022
1051;Elmore County;Alabama;1100289.0;1179265.0;1271018.0;1414722.0;1493377.0;1501676.0;1568769.0;1582791.0;1628357.0;1691771.0;1648571.0;1713508.0;1718968.0;1690970.0;1695263.0;1742986.0;1773294.0;1788247.0;1812579.0;1740649.0;1787108.0;64.213;68.822;74.176;82.563;87.153;87.638;91.553;92.371;95.031;98.731;96.21;100.0;100.319;98.685;98.935;101.72;103.489;104.362;105.782;101.584;104.295;64.213;68.822;74.176;82.563;87.153;87.638;91.553;92.371;95.031;98.731;96.21;100.0;100.319;98.685;98.935;101.72;103.489;104.362;105.782;101.584;104.295
