FIPS code;GeoName;State;2001 Personal income (thousands of dollars) ;2002 Personal income (thousands of dollars) ;2003 Personal income (thousands of dollars) ;2004 Personal income (thousands of dollars) ;2005 Personal income (thousands of dollars) ;2006 Personal income (thousands of dollars) ;2007 Personal income (thousands of dollars) ;2008 Personal income (thousands of dollars) ;2009 Personal income (thousands of dollars) ;2010 Personal income (thousands of dollars) ;2011 Personal income (thousands of dollars) ;2012 Personal income (thousands of dollars) ;2013 Personal income (thousands of dollars) ;2014 Personal income (thousands of dollars) ;2015 Personal income (thousands of dollars) ;2016 Personal income (thousands of dollars) ;2017 Personal income (thousands of dollars) ;2018 Personal income (thousands of dollars) ;2019 Personal income (thousands of dollars) ;2020 Personal income (thousands of dollars) ;2021 Personal income (thousands of dollars) ;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/
1041;Crenshaw County;Alabama;303133;291521;310797;347144;371696;368003;374457;391284;394984;417253;405103;422759;460500;470553;503930;478302;490817;500659;506454;525242;602316;13724;13635;13652;13727;13699;13880;13956;13922;14024;13855;13830;13798;13681;13634;13583;13590;13500;13433;13340;13157;13083;13724;13635;13652;13727;13699;13880;13956;13922;14024;13855;13830;13798;13681;13634;13583;13590;13500;13433;13340;13157;13083
1043;Cullman County;Alabama;1818849;1820389;1945474;2089897;2199747;2236320;2351709;2430722;2408330;2464983;2510980;2623295;2780959;2841800;3051772;3022891;3171587;3289010;3477593;3691230;4122247;77415;77443;77657;78131;78692;79044;79576;80273;80351;80538;80831;81033;81780;82497;83536;84554;85303;86134;86838;88044;89496;77415;77443;77657;78131;78692;79044;79576;80273;80351;80538;80831;81033;81780;82497;83536;84554;85303;86134;86838;88044;89496
1045;Dale County;Alabama;1098309;1138003;1182420;1280359;1396807;1500944;1547850;1570029;1589984;1659042;1698750;1678642;1677079;1676330;1715374;1713948;1745243;1791886;1861929;1970111;2166886;49254;49373;49215;49245;49050;49077;49488;49871;49854;50403;50172;50381;49903;49589;49580;49655;49673;49500;49554;49214;49342;49254;49373;49215;49245;49050;49077;49488;49871;49854;50403;50172;50381;49903;49589;49580;49655;49673;49500;49554;49214;49342
1047;Dallas County;Alabama;933299;946542;974904;1042433;1080046;1147647;1165892;1201114;1175616;1228802;1265930;1261224;1260067;1267424;1326262;1328266;1328705;1335634;1372703;1480318;1574361;46132;45377;45170;44795;44434;44323;44194;44265;43759;43916;43557;43336;42750;42557;42162;41526;40879;40066;39143;38190;37619;46132;45377;45170;44795;44434;44323;44194;44265;43759;43916;43557;43336;42750;42557;42162;41526;40879;40066;39143;38190;37619
1049;DeKalb County;Alabama;1386184;1402937;1477624;1602551;1611384;1639573;1770994;1849607;1837097;1913106;1847835;1915333;1993876;2056734;2180344;2132030;2222136;2298709;2361236;2506990;2874405;65678;65861;66530;67260;67794;68495;69450;70228;70864;71134;71341;70922;70892;70977;71080;71131;71456;71446;71521;71630;71813;65678;65861;66530;67260;67794;68495;69450;70228;70864;71134;71341;70922;70892;70977;71080;71131;71456;71446;71521;71630;71813
1051;Elmore County;Alabama;1620319;1721254;1845176;1979386;2119081;2298111;2461327;2602691;2638231;2734419;2844934;2936074;2922872;2990646;3159322;3278547;3408377;3483406;3671967;3937322;4231338;67459;68659;69935;71018;72978;75246;77124;77698;78632;79695;80700;81470;82389;82964;83891;84840;85629;85940;86943;88116;89304;67459;68659;69935;71018;72978;75246;77124;77698;78632;79695;80700;81470;82389;82964;83891;84840;85629;85940;86943;88116;89304
1053;Escambia County;Alabama;735927;721524;749989;799223;859020;895654;936122;965017;971564;1030258;1055475;1098488;1113980;1116296;1137036;1148144;1186441;1185238;1230977;1324866;1444567;38197;38035;37796;37713;37601;37673;37839;37929;38249;38363;38265;38125;37912;37927;37896;37759;37305;36845;36939;36665;36699;38197;38035;37796;37713;37601;37673;37839;37929;38249;38363;38265;38125;37912;37927;37896;37759;37305;36845;36939;36665;36699
1055;Etowah County;Alabama;2296429;2370461;2455565;2592943;2690168;2780125;2958090;3054340;3043242;3170357;3219524;3262663;3271110;3383736;3519018;3572945;3670350;3760475;3869418;4114541;4390379;102976;102988;103025;103080;103174;103528;103893;104206;104239;104468;104495;104521;104249;103880;103601;103603;103854;103646;103440;103393;103162;102976;102988;103025;103080;103174;103528;103893;104206;104239;104468;104495;104521;104249;103880;103601;103603;103854;103646;103440;103393;103162
1057;Fayette County;Alabama;359475;350668;364761;385561;397982;406370;428460;439338;436738;452539;463646;485453;492762;507437;536808;537106;549133;562168;584161;617247;672926;18384;18278;18178;18022;18030;17767;17523;17541;17310;17234;17071;16974;16864;16818;16753;16630;16533;16514;16348;16307;16148;18384;18278;18178;18022;18030;17767;17523;17541;17310;17234;17071;16974;16864;16818;16753;16630;16533;16514;16348;16307;16148
1059;Franklin County;Alabama;663514;657275;679394;735296;771155;779031;833738;862936;846550;887535;887410;900517;907966;943056;997749;985123;1025679;1066797;1103904;1191161;1306438;31190;30891;30874;30768;30968;31134;31004;31459;31589;31761;31848;31828;31751;31813;31829;32029;32080;31959;32107;32063;32013;31190;30891;30874;30768;30968;31134;31004;31459;31589;31761;31848;31828;31751;31813;31829;32029;32080;31959;32107;32063;32013
